pl_name,hostname,ra,dec,discoverymethod,disc_year,sy_dist
"11 Com b","11 Com",185.1787793,17.7932516,"Radial Velocity",2007,93.18460000
"11 UMi b","11 UMi",229.2745954,71.8239428,"Radial Velocity",2009,125.32100000
"14 And b","14 And",352.8241500,39.2358367,"Radial Velocity",2008,75.43920000
"14 Her b","14 Her",242.6021014,43.8163621,"Radial Velocity",2002,17.93230000
"16 Cyg B b","16 Cyg B",295.4656422,50.5168243,"Radial Velocity",1996,21.13970000
"17 Sco b","17 Sco",243.4620874,-11.8377905,"Radial Velocity",2020,124.95300000
"18 Del b","18 Del",314.6078375,10.8391378,"Radial Velocity",2008,76.22200000
"1RXS J160929.1-210524 b","1RXS J160929.1-210524",242.3762343,-21.0831403,"Imaging",2008,139.13500000
"24 Boo b","24 Boo",217.1555242,49.8446488,"Radial Velocity",2018,95.98630000
"24 Sex b","24 Sex",155.8684866,-0.9023998,"Radial Velocity",2010,72.06910000
"24 Sex c","24 Sex",155.8684866,-0.9023998,"Radial Velocity",2010,72.06910000
"2M0437 b","2MASS J04372171+2651014",69.3405531,26.8502997,"Imaging",2021,128.48400000
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A",15.8992489,-55.2658291,"Imaging",2013,47.20000000
"2MASS J01225093-2439505 b","2MASS J01225093-2439505",20.7128012,-24.6646128,"Imaging",2013,33.82810000
"2MASS J02192210-3925225 b","2MASS J02192210-3925225",34.8427046,-39.4230767,"Imaging",2015,40.08964117
"2MASS J0249-0557 c","2MASS J0249-0557 A",42.4851627,-5.9599921,"Imaging",2018,66.06130000
"2MASS J03590986+2009361 b","2MASS J03590986+2009361",59.7911026,20.1599759,"Imaging",2024,117.43500000
"2MASS J04414489+2301513 b","2MASS J04414489+2301513",70.4371079,23.0308544,"Imaging",2010,120.42398696
"2MASS J11011926-7732383 b","2MASS J11011926-7732383",165.3295388,-77.5440912,"Imaging",2024,
"2MASS J11550485-7919108 b","2MASS J11550485-7919108",178.7691634,-79.3197558,"Imaging",2024,100.86200000
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",181.8890906,-39.5484399,"Imaging",2004,64.30800000
"2MASS J19383260+4603591 b","2MASS J19383260+4603591",294.6359173,46.0664076,"Eclipse Timing Variations",2015,396.33200000
"2MASS J21252752-8138278 b","2MASS J21252752-8138278",321.3662989,-81.6414894,"Imaging",2024,34.11540000
"2MASS J22362452+4751425 b","2MASS J22362452+4751425",339.1025931,47.8616830,"Imaging",2016,69.57370000
"2MASS J22501512+2325342 b","2MASS J22501512+2325342",342.5634097,23.4259058,"Imaging",2018,57.23090000
"4 UMa b","4 UMa",130.0528099,64.3280504,"Radial Velocity",2006,73.46030000
"47 UMa b","47 UMa",164.8647611,40.4304931,"Radial Velocity",1996,13.79670000
"47 UMa c","47 UMa",164.8647611,40.4304931,"Radial Velocity",2001,13.79670000
"47 UMa d","47 UMa",164.8647611,40.4304931,"Radial Velocity",2009,13.79670000
"51 Eri b","51 Eri",69.4007424,-2.4738245,"Imaging",2015,29.75750000
"51 Peg b","51 Peg",344.3675399,20.7690958,"Radial Velocity",1995,15.46140000
"55 Cnc B b","55 Cnc B",133.1679080,28.3152863,"Radial Velocity",2025,12.47730000
"55 Cnc B c","55 Cnc B",133.1679080,28.3152863,"Radial Velocity",2025,12.47730000
"55 Cnc b","55 Cnc",133.1468373,28.3298154,"Radial Velocity",1996,12.58550000
"55 Cnc c","55 Cnc",133.1468373,28.3298154,"Radial Velocity",2004,12.58550000
"55 Cnc d","55 Cnc",133.1468373,28.3298154,"Radial Velocity",2002,12.58550000
"55 Cnc e","55 Cnc",133.1468373,28.3298154,"Radial Velocity",2004,12.58550000
"55 Cnc f","55 Cnc",133.1468373,28.3298154,"Radial Velocity",2007,12.58550000
"6 Lyn b","6 Lyn",97.6960311,58.1611753,"Radial Velocity",2008,54.65990000
"61 Vir b","61 Vir",199.5964550,-18.3157745,"Radial Velocity",2009,8.50332000
"61 Vir c","61 Vir",199.5964550,-18.3157745,"Radial Velocity",2009,8.50332000
"61 Vir d","61 Vir",199.5964550,-18.3157745,"Radial Velocity",2009,8.50332000
